"nome","nota","ranked","synopsis"
"Jormungand","7.91","Ranked #703","Brought up in a conflict-ridden environment, child soldier Jonathan ""Jonah"" Mar hates weapons and those who deal them. But when Koko Hekmatyar, an international arms dealer, takes on Jonah as one of her bodyguards, he has little choice but to take up arms. Along with Koko's other bodyguards, composed mostly of former special-ops soldiers, Jonah is now tasked with protecting Koko and her overly idealistic goal of world peace from the countless dangers that come from her line of work.

Jormungand follows Koko, Jonah, and the rest of crew as they travel the world selling weapons under the international shipping company HCLI. As Koko's work is illegal under international law, she is forced to constantly sidestep both local and international authorities while doing business with armies, private militaries, and militias. With the CIA always hot on her trail, and assassins around every corner, Jonah and the crew must guard Koko and her dream of world peace with their lives or die trying.

"
"Jungle wa Itsumo Hare nochi Guu","7.91","Ranked #704","Haré was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle.

(Source: ANN)"
"Kara no Kyoukai 2: Satsujin Kousatsu (Zen)","7.91","Ranked #705","In the winter of 1995, Mikiya Kokutou passes a young woman during a late night stroll in the snow. Clad in a striking white kimono and bearing an enigmatic gaze, Shiki Ryougi smiles at Mikiya who stares back with curiosity. Later that spring, Mikiya notices Shiki at his high school entrance ceremony, and they become acquaintances through lunchtime conversations. As Shiki begins opening up to him, Mikiya learns about her unique upbringing.

Meanwhile, a series of unprecedented murders takes place across Mifune City. Seemingly related, these murders are particularly brutal and warrant a large scale police investigation. Because of his cousin's work as a police investigator, Mikiya is given insight into the investigation. Concerned for Shiki's safety, Mikiya decides to monitor her actions, but in doing so, he stumbles upon a truly frightening discovery that changes his life forever.

"
"Kokoro Connect","7.91","Ranked #706","When five students at Yamaboshi Academy realize that there are no clubs where they fit in, they band together to form the Student Cultural Society, or ""StuCS"" for short. The club consists of: Taichi Yaegashi, a hardcore wrestling fan; Iori Nagase, an indecisive optimist; Himeko Inaba, a calm computer genius; Yui Kiriyama, a petite karate practitioner; and Yoshifumi Aoki, the class clown.
 
One day, Aoki and Yui experience a strange incident when, without warning, they switch bodies for a short period of time. As this supernatural phenomenon continues to occur randomly amongst the five friends, they begin to realize that it is not just fun and games. Now forced to become closer than ever, they soon discover each other's hidden secrets and emotional scars, which could end up tearing the StuCS and their friendship apart.

"
"Kyou kara Maou! 3rd Series","7.91","Ranked #707","At the end of season 2. Yuuri defeats Shinou, but since Shinou had been defeated, Yuuri and Murata could no longer go to the Shin Makoku. However, because Yuuri had fought and defeated him, his powers had surpassed that of Shinou's, resulting in him being able to rely on his own power to return to Shin Makoku.

After the ceremony at the age of 16, Yuuri slowly begins to discover that much has happened while he was away. The ten officials of the noble family have decided to make Wolfram the next Maou, but now that Yuuri has returned and taken back his role as Maou, complications arise when one noble disagrees with Yuuri returning to the throne.

In addition, an ancient secret society that threatens the peace of both humans and Mazoku has risen, and a fight for the throne that now leaves the nobles wondering who is the legitimate Maou. "
"Mahoujin Guruguru (2017)","7.91","Ranked #708","The seal that for hundreds of years had confined the demon king Giri has worn off. A young boy named Nike is chosen (against his will) as the hero. Together with Kukuri, a girl who is the lone survivor of the tribe that had used black magic to seal Giri, they set off to save the world, RPG style.

(Source: ANN)"
"Manga de Wakaru! Fate/Grand Order","7.91","Ranked #709","A short anime based on Manga de Wakaru! Fate/Grand Order by Riyo.  Aired during Fate Project Year End 2018, and is also available on YouTube."
"Neko no Ongaeshi","7.91","Ranked #710","Haru Yoshioka is your ordinary high school girl who has trouble making decisions for herself. One day, she spots a strange cat crossing the road with a small present... and a truck headed straight for it! Haru doesn't even stop to think before jumping in front of the truck and getting them both to safety.

This one selfless act initiates a chain of events that sends Haru on an epic adventure. The cat she saved turns out to be no ordinary feline, but Lune, Prince of the Cats. In honor of her bravery and for saving his life, he offers to marry her. Haru mutters a reply which is taken to be a ""yes,"" and for better or for worse, her fate is sealed.

Alongside her cat companions Muta and the Baron, she's aided from above by a raven named Toto, and must travel to the cat world in order to rectify this misunderstanding. Her journey is tougher than it seems: If she cannot escape from the claws of the King of the Cats and find her true self, she will be turned into a cat forever.

Haru may start off as an everyday girl, but after her descent into the world of cats, she returns a different beast entirely."
"Yao Shen Ji 3rd Season","7.91","Ranked #712","The third Season of Yao Shen Ji."
"Akagami no Shirayuki-hime","7.90","Ranked #714","Although her name means ""snow white,"" Shirayuki is a cheerful, red-haired girl living in the country of Tanbarun who works diligently as an apothecary at her herbal shop. Her life changes drastically when she is noticed by the silly prince of Tanbarun, Prince Raji, who then tries to force her to become his concubine. Unwilling to give up her freedom, Shirayuki cuts her long red hair and escapes into the forest, where she is rescued from Raji by Zen Wistalia, the second prince of a neighboring country, and his two aides. Hoping to repay her debt to the trio someday, Shirayuki sets her sights on pursuing a career as the court herbalist in Zen's country, Clarines.

Akagami no Shirayuki-hime depicts Shirayuki's journey toward a new life at the royal palace of Clarines, as well as Zen's endeavor to become a prince worthy of his title. As loyal friendships are forged and deadly enemies formed, Shirayuki and Zen slowly learn to support each other as they walk their own paths.

"
